,customer_id,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment,CLASS
225,2959,35,2,97.78,2,1,1,211,One-timer,COPPER
226,2979,59,2,18.3,2,1,1,211,One-timer,TIN
227,3007,16,3,76.84,3,1,1,311,One-timer,COPPER
228,3017,51,3,19.69,2,1,1,211,One-timer,TIN
231,3081,37,2,207.69000000000003,2,1,1,211,One-timer,COPPER
232,3084,5,1,432.39,3,1,1,311,One-timer,COPPER
234,3104,36,1,7.800000000000001,2,1,1,211,One-timer,CHEAP
237,3127,66,2,2.7,2,1,1,211,One-timer,CHEAP
241,3172,60,1,49.03,2,1,1,211,One-timer,TIN
246,3286,61,1,16.99,2,1,1,211,One-timer,TIN
247,3287,52,3,41.75,2,1,1,211,One-timer,TIN
249,3342,7,2,20.560000000000002,3,1,1,311,One-timer,TIN
254,3400,18,1,5.85,3,1,1,311,One-timer,CHEAP
258,3417,52,3,56.71,2,1,1,211,One-timer,TIN
261,3468,23,2,681.4,3,1,2,312,One-timer,COPPER
263,3473,20,3,224.99,3,1,1,311,One-timer,COPPER
265,3480,55,2,18.39,2,1,1,211,One-timer,TIN
266,3503,43,2,147.85000000000002,2,1,1,211,One-timer,COPPER
273,3569,41,2,45.629999999999995,2,1,1,211,One-timer,TIN
274,3572,10,2,13.47,3,1,1,311,One-timer,CHEAP
275,3580,74,2,182.65,2,1,1,211,One-timer,COPPER
279,3631,5,3,32.04,3,1,1,311,One-timer,TIN
281,3676,47,2,10.76,2,1,1,211,One-timer,CHEAP
284,3714,63,2,75.57,2,1,1,211,One-timer,COPPER
285,3738,24,3,56.32,3,1,1,311,One-timer,TIN
286,3749,70,1,5.98,2,1,1,211,One-timer,CHEAP
295,3870,48,1,19.99,2,1,1,211,One-timer,TIN
296,3872,31,2,91.99,3,1,1,311,One-timer,COPPER
297,3896,47,2,67.0,2,1,1,211,One-timer,COPPER
298,3915,47,1,25.5,2,1,1,211,One-timer,TIN
299,3928,50,2,97.25,2,1,1,211,One-timer,COPPER
302,3967,7,1,0.85,3,1,1,311,One-timer,CHEAP
306,4040,47,2,129.33,2,1,1,211,One-timer,COPPER
309,4077,47,1,92.55000000000001,2,1,1,211,One-timer,COPPER
311,4099,28,2,52.1,3,1,1,311,One-timer,TIN
312,4108,19,1,12.88,3,1,1,311,One-timer,CHEAP
314,4164,21,2,1.9,3,1,1,311,One-timer,CHEAP
316,4197,30,3,32.43,3,1,1,311,One-timer,TIN
317,4202,3,1,48.9,3,1,1,311,One-timer,TIN
319,4231,41,3,233.43,2,1,1,211,One-timer,COPPER
320,4235,22,2,32.39,3,1,1,311,One-timer,TIN
321,4238,32,2,32.870000000000005,3,1,1,311,One-timer,TIN
322,4252,67,3,43.4,2,1,1,211,One-timer,TIN
326,4364,18,2,824.9099999999999,3,1,2,312,One-timer,COPPER
328,4393,11,1,22.95,3,1,1,311,One-timer,TIN
331,4428,55,1,8.75,2,1,1,211,One-timer,CHEAP
332,4460,59,1,19.240000000000002,2,1,1,211,One-timer,TIN
333,4488,11,1,1.5,3,1,1,311,One-timer,CHEAP
337,4504,1,2,13.85,3,1,1,311,One-timer,CHEAP
338,4555,56,3,86.78,2,1,1,211,One-timer,COPPER
342,4610,7,3,56.760000000000005,3,1,1,311,One-timer,TIN
344,4622,25,1,2.49,3,1,1,311,One-timer,CHEAP
345,4626,0,3,92.15,3,1,1,311,One-timer,COPPER
346,4631,30,1,5.0,3,1,1,311,One-timer,CHEAP
349,4693,31,3,211.05999999999995,3,1,1,311,One-timer,COPPER
351,4723,52,1,157.24,2,1,1,211,One-timer,COPPER
358,4799,34,2,9.9,3,1,1,311,One-timer,CHEAP
359,4811,22,2,24.31,3,1,1,311,One-timer,TIN
360,4816,24,2,41.62,3,1,1,311,One-timer,TIN
364,4827,29,2,19.5,3,1,1,311,One-timer,TIN
370,4846,53,3,128.82999999999998,2,1,1,211,One-timer,COPPER
371,4905,21,1,10.09,3,1,1,311,One-timer,CHEAP
373,4913,39,1,9.9,2,1,1,211,One-timer,CHEAP
375,4922,67,2,103.85000000000001,2,1,1,211,One-timer,COPPER
377,5009,30,3,362.6,3,1,1,311,One-timer,COPPER
386,5118,34,2,9.48,3,1,1,311,One-timer,CHEAP
387,5128,55,1,2.05,2,1,1,211,One-timer,CHEAP
388,5134,60,2,18.25,2,1,1,211,One-timer,TIN
389,5147,49,1,3.49,2,1,1,211,One-timer,CHEAP
390,5153,54,1,5.85,2,1,1,211,One-timer,CHEAP
391,5154,24,1,5.9,3,1,1,311,One-timer,CHEAP
392,5155,22,2,36.959999999999994,3,1,1,311,One-timer,TIN
393,5158,71,3,252.05,2,1,1,211,One-timer,COPPER
397,5194,13,2,155.17,3,1,1,311,One-timer,COPPER
400,5230,1,3,23.740000000000002,3,1,1,311,One-timer,TIN
401,5245,57,2,46.0,2,1,1,211,One-timer,TIN
402,5299,69,1,6.0,2,1,1,211,One-timer,CHEAP
403,5306,34,1,119.0,3,1,1,311,One-timer,COPPER
404,5319,6,1,31.340000000000003,3,1,1,311,One-timer,TIN
406,5345,45,1,31.5,2,1,1,211,One-timer,TIN
407,5363,7,2,4.2,3,1,1,311,One-timer,CHEAP
409,5389,7,1,17.55,3,1,1,311,One-timer,TIN
410,5397,73,3,65.2,2,1,1,211,One-timer,COPPER
412,5451,18,2,56.69,3,1,1,311,One-timer,TIN
413,5461,66,1,4.95,2,1,1,211,One-timer,CHEAP
416,5482,25,3,87.69,3,1,1,311,One-timer,COPPER
417,5492,19,3,49.74999999999999,3,1,1,311,One-timer,TIN
420,5574,46,3,141.82999999999998,2,1,1,211,One-timer,COPPER
423,5619,69,1,2.49,2,1,1,211,One-timer,CHEAP
425,5628,13,2,21.82,3,1,1,311,One-timer,TIN
428,5645,26,2,103.45,3,1,1,311,One-timer,COPPER
436,5738,50,3,107.5,2,1,1,211,One-timer,COPPER
437,5739,7,1,48.779999999999994,3,1,1,311,One-timer,TIN
440,5791,49,3,1272.1499999999996,2,1,2,212,One-timer,COPPER
443,5855,21,3,46.5,3,1,1,311,One-timer,TIN
446,5894,23,1,74.31,3,1,1,311,One-timer,COPPER
449,5916,62,3,16.45,2,1,1,211,One-timer,TIN
451,5946,23,1,2.8,3,1,1,311,One-timer,CHEAP
452,5948,10,3,23.299999999999997,3,1,1,311,One-timer,TIN
453,5954,20,1,9.99,3,1,1,311,One-timer,CHEAP
455,5971,18,3,48.65,3,1,1,311,One-timer,TIN
457,6017,72,1,2.6,2,1,1,211,One-timer,CHEAP
466,6094,45,1,203.65,2,1,1,211,One-timer,COPPER
468,6108,69,3,52.0,2,1,1,211,One-timer,TIN
470,6130,62,2,32.07,2,1,1,211,One-timer,TIN
472,6166,44,1,25.0,2,1,1,211,One-timer,TIN
474,6182,7,1,19.9,3,1,1,311,One-timer,TIN
476,6192,23,2,8.850000000000001,3,1,1,311,One-timer,CHEAP
477,6203,40,1,2.79,2,1,1,211,One-timer,CHEAP
478,6240,68,1,79.8,2,1,1,211,One-timer,COPPER
496,6508,35,1,199.8,2,1,1,211,One-timer,COPPER
498,6548,74,2,40.220000000000006,2,1,1,211,One-timer,TIN
501,6579,70,2,54.45,2,1,1,211,One-timer,TIN
502,6600,13,2,4.38,3,1,1,311,One-timer,CHEAP
503,6612,50,2,9.89,2,1,1,211,One-timer,CHEAP
504,6613,27,2,26.380000000000003,3,1,1,311,One-timer,TIN
514,6753,3,3,179.25,3,1,1,311,One-timer,COPPER
517,6780,23,2,16.79,3,1,1,311,One-timer,TIN
521,6814,58,2,48.03000000000001,2,1,1,211,One-timer,TIN
523,6827,45,1,26.6,2,1,1,211,One-timer,TIN
525,6855,47,1,241.56,2,1,1,211,One-timer,COPPER
527,6902,5,2,76.94,3,1,1,311,One-timer,COPPER
530,6973,44,3,24.39,2,1,1,211,One-timer,TIN
535,7044,32,3,26.3,3,1,1,311,One-timer,TIN
536,7083,37,2,63.04,2,1,1,211,One-timer,COPPER
537,7105,5,3,117.7,3,1,1,311,One-timer,COPPER
538,7133,65,3,31.0,2,1,1,211,One-timer,TIN
539,7134,25,1,918.51,3,1,2,312,One-timer,COPPER
542,7174,60,3,35.739999999999995,2,1,1,211,One-timer,TIN
545,7209,65,2,35.7,2,1,1,211,One-timer,TIN
552,7312,13,2,47.11,3,1,1,311,One-timer,TIN
554,7339,62,2,40.489999999999995,2,1,1,211,One-timer,TIN
555,7343,12,2,24.87,3,1,1,311,One-timer,TIN
556,7347,33,2,12.14,3,1,1,311,One-timer,CHEAP
557,7352,40,3,88.9,2,1,1,211,One-timer,COPPER
561,7410,58,1,3.4,2,1,1,211,One-timer,CHEAP
563,7416,44,1,12.98,2,1,1,211,One-timer,CHEAP
565,7438,73,3,43.98,2,1,1,211,One-timer,TIN
568,7483,52,2,43.09,2,1,1,211,One-timer,TIN
571,7516,6,2,26.82,3,1,1,311,One-timer,TIN
577,7584,72,1,8.65,2,1,1,211,One-timer,CHEAP
578,7603,0,1,25.8,3,1,1,311,One-timer,TIN
579,7609,28,3,25.9,3,1,1,311,One-timer,TIN
580,7630,73,2,89.85,2,1,1,211,One-timer,COPPER
588,7748,31,2,4.6000000000000005,3,1,1,311,One-timer,CHEAP
589,7786,56,3,288.2,2,1,1,211,One-timer,COPPER
595,7888,55,2,2.6900000000000004,2,1,1,211,One-timer,CHEAP
603,8000,35,3,198.79000000000002,2,1,1,211,One-timer,COPPER
606,8036,59,3,50.03,2,1,1,211,One-timer,TIN
610,8086,40,2,9.62,2,1,1,211,One-timer,CHEAP
615,8162,53,1,7.99,2,1,1,211,One-timer,CHEAP
619,8204,11,1,2.6,3,1,1,311,One-timer,CHEAP
621,8230,0,2,19.4,3,1,1,311,One-timer,TIN
623,8245,0,3,53.970000000000006,3,1,1,311,One-timer,TIN
624,8252,6,2,81.75999999999999,3,1,1,311,One-timer,COPPER
625,8260,52,3,17.72,2,1,1,211,One-timer,TIN
627,8281,73,3,15.0,2,1,1,211,One-timer,CHEAP
629,8316,35,2,91.25000000000001,2,1,1,211,One-timer,COPPER
630,8353,59,1,59.0,2,1,1,211,One-timer,COPPER
637,8407,32,1,473.38,3,1,2,312,One-timer,COPPER
638,8423,21,2,71.0,3,1,1,311,One-timer,COPPER
644,8484,31,2,22.7,3,1,1,311,One-timer,TIN
652,8622,0,1,14.89,3,1,1,311,One-timer,CHEAP
655,8653,70,3,7.48,2,1,1,211,One-timer,CHEAP
660,8710,68,2,38.879999999999995,2,1,1,211,One-timer,TIN
663,8759,0,2,495.0,3,1,2,312,One-timer,COPPER
666,8810,49,1,5.98,2,1,1,211,One-timer,CHEAP
668,8847,26,3,101.23,3,1,1,311,One-timer,COPPER
669,8868,52,2,105.19,2,1,1,211,One-timer,COPPER
672,8918,27,2,51.19,3,1,1,311,One-timer,TIN
676,9008,13,1,57.35,3,1,1,311,One-timer,COPPER
678,9030,1,3,44.92,3,1,1,311,One-timer,TIN
680,9072,6,2,94.61999999999999,3,1,1,311,One-timer,COPPER
681,9075,25,2,113.52000000000001,3,1,1,311,One-timer,COPPER
685,9121,35,1,2.9,2,1,1,211,One-timer,CHEAP
687,9147,52,1,5.99,2,1,1,211,One-timer,CHEAP
689,9177,64,3,49.53,2,1,1,211,One-timer,TIN
691,9201,21,3,11.89,3,1,1,311,One-timer,CHEAP
703,9385,6,2,7.78,3,1,1,311,One-timer,CHEAP
706,9394,70,1,21.900000000000002,2,1,1,211,One-timer,TIN
708,9409,63,3,42.7,2,1,1,211,One-timer,TIN
711,9437,66,2,28.67,2,1,1,211,One-timer,TIN
715,9490,47,3,68.91,2,1,1,211,One-timer,COPPER
718,9524,3,2,27.55,3,1,1,311,One-timer,TIN
719,9525,5,3,51.72,3,1,1,311,One-timer,TIN
720,9557,48,3,557.51,2,1,2,212,One-timer,COPPER
729,9712,13,2,90.32999999999998,3,1,1,311,One-timer,COPPER
730,9719,22,2,41.6,3,1,1,311,One-timer,TIN
732,9723,59,2,15.189999999999998,2,1,1,211,One-timer,CHEAP
739,9776,58,2,69.74000000000001,2,1,1,211,One-timer,COPPER
743,9843,30,3,1053.4,3,1,2,312,One-timer,COPPER
745,9860,41,3,16.18,2,1,1,211,One-timer,TIN
747,9928,28,3,46.33,3,1,1,311,One-timer,TIN
748,9939,52,3,606.3299999999999,2,1,2,212,One-timer,COPPER
752,9976,12,3,73.11999999999999,3,1,1,311,One-timer,COPPER
753,9978,3,2,25.29,3,1,1,311,One-timer,TIN
755,9981,45,2,23.08,2,1,1,211,One-timer,TIN
756,9984,0,3,58.93999999999999,3,1,1,311,One-timer,COPPER
758,9998,59,3,10.22,2,1,1,211,One-timer,CHEAP
760,10017,61,1,1381.19,2,1,2,212,One-timer,COPPER
761,10054,35,3,18.6,2,1,1,211,One-timer,TIN
763,10101,39,2,12.8,2,1,1,211,One-timer,CHEAP
765,10194,37,2,8.100000000000001,2,1,1,211,One-timer,CHEAP
767,10269,49,3,62.18,2,1,1,211,One-timer,COPPER
773,10359,40,1,8.95,2,1,1,211,One-timer,CHEAP
776,10394,18,3,69.11999999999999,3,1,1,311,One-timer,COPPER
780,10428,66,2,11.48,2,1,1,211,One-timer,CHEAP
783,10482,45,3,292.34000000000003,2,1,1,211,One-timer,COPPER
785,10488,6,1,434.27,3,1,1,311,One-timer,COPPER
786,10493,1,1,20.63,3,1,1,311,One-timer,TIN
792,10581,47,1,42.9,2,1,1,211,One-timer,TIN
796,10626,55,1,187.88,2,1,1,211,One-timer,COPPER
798,10666,18,2,1.9,3,1,1,311,One-timer,CHEAP
800,10699,12,2,115.69,3,1,1,311,One-timer,COPPER
801,10701,20,3,110.57999999999998,3,1,1,311,One-timer,COPPER
802,10723,10,2,4.9,3,1,1,311,One-timer,CHEAP
808,10798,44,3,20.29,2,1,1,211,One-timer,TIN
811,10805,45,2,11.49,2,1,1,211,One-timer,CHEAP
812,10815,0,1,43.21,3,1,1,311,One-timer,TIN
815,10838,73,2,20.58,2,1,1,211,One-timer,TIN
817,10865,7,1,6.66,3,1,1,311,One-timer,CHEAP
821,10922,28,2,41.95,3,1,1,311,One-timer,TIN
822,10923,62,1,2.99,2,1,1,211,One-timer,CHEAP
823,10934,29,2,16.84,3,1,1,311,One-timer,TIN
824,10940,10,3,62.58,3,1,1,311,One-timer,COPPER
825,10979,3,2,94.75,3,1,1,311,One-timer,COPPER
826,10999,23,1,6.88,3,1,1,311,One-timer,CHEAP
827,11003,55,1,10.88,2,1,1,211,One-timer,CHEAP
831,11032,40,3,20.35,2,1,1,211,One-timer,TIN
834,11052,40,1,60.0,2,1,1,211,One-timer,COPPER
835,11058,11,1,2.5,3,1,1,311,One-timer,CHEAP
840,11111,53,1,21.45,2,1,1,211,One-timer,TIN
844,11143,68,2,64.19999999999999,2,1,1,211,One-timer,COPPER
852,11328,59,1,63.949999999999996,2,1,1,211,One-timer,COPPER
854,11333,71,1,19.99,2,1,1,211,One-timer,TIN
862,11433,50,2,3.9000000000000004,2,1,1,211,One-timer,CHEAP
863,11434,3,2,131.54999999999998,3,1,1,311,One-timer,COPPER
865,11442,65,3,33.75,2,1,1,211,One-timer,TIN
867,11477,41,1,7.9,2,1,1,211,One-timer,CHEAP
868,11519,1,3,723.61,3,1,2,312,One-timer,COPPER
869,11566,52,2,26.75,2,1,1,211,One-timer,TIN
870,11580,24,2,162.44,3,1,1,311,One-timer,COPPER
871,11643,25,1,3.5,3,1,1,311,One-timer,CHEAP
872,11649,65,3,11.48,2,1,1,211,One-timer,CHEAP
874,11669,1,3,41.37,3,1,1,311,One-timer,TIN
882,11795,65,2,23.31,2,1,1,211,One-timer,TIN
885,11844,7,2,5.6,3,1,1,311,One-timer,CHEAP
887,11863,74,1,0.2,2,1,1,211,One-timer,CHEAP
902,12084,31,2,16.689999999999998,3,1,1,311,One-timer,TIN
904,12119,45,3,37.86000000000001,2,1,1,211,One-timer,TIN
905,12153,67,3,156.82999999999998,2,1,1,211,One-timer,COPPER
909,12220,58,1,91.96,2,1,1,211,One-timer,COPPER
912,12250,48,1,9.78,2,1,1,211,One-timer,CHEAP
913,12256,13,2,10.73,3,1,1,311,One-timer,CHEAP
920,12377,44,1,13.100000000000001,2,1,1,211,One-timer,CHEAP
922,12398,36,1,2.6,2,1,1,211,One-timer,CHEAP
923,12445,72,1,7.94,2,1,1,211,One-timer,CHEAP
926,12498,18,1,4.99,3,1,1,311,One-timer,CHEAP
930,12539,41,2,19.490000000000002,2,1,1,211,One-timer,TIN
932,12561,48,1,13.43,2,1,1,211,One-timer,CHEAP
933,12567,44,3,174.35,2,1,1,211,One-timer,COPPER
934,12568,27,1,16.99,3,1,1,311,One-timer,TIN
937,12620,25,2,69.3,3,1,1,311,One-timer,COPPER
940,12657,4,1,72.41,3,1,1,311,One-timer,COPPER
941,12676,69,3,411.65,2,1,1,211,One-timer,COPPER
943,12719,54,1,42.9,2,1,1,211,One-timer,TIN
944,12734,63,3,8.98,2,1,1,211,One-timer,CHEAP
949,12810,24,2,2.49,3,1,1,311,One-timer,CHEAP
951,12831,33,1,5.0,3,1,1,311,One-timer,CHEAP
953,12853,28,3,6.900000000000002,3,1,1,311,One-timer,CHEAP
958,12919,61,2,55.83,2,1,1,211,One-timer,TIN
960,12968,61,3,31.549999999999997,2,1,1,211,One-timer,TIN
966,13013,19,1,11.95,3,1,1,311,One-timer,CHEAP
969,13093,39,1,49.9,2,1,1,211,One-timer,TIN
974,13134,39,3,46.25,2,1,1,211,One-timer,TIN
979,13255,71,2,21.07,2,1,1,211,One-timer,TIN
984,13315,37,2,31.769999999999996,2,1,1,211,One-timer,TIN
986,13375,42,2,250.65,2,1,1,211,One-timer,COPPER
987,13377,41,3,935.1899999999999,2,1,2,212,One-timer,COPPER
988,13380,37,3,130.79999999999998,2,1,1,211,One-timer,COPPER
993,13553,64,2,8.19,2,1,1,211,One-timer,CHEAP
996,13588,44,1,199.0,2,1,1,211,One-timer,COPPER
1000,13646,69,3,27.04,2,1,1,211,One-timer,TIN
1001,13672,59,2,38.7,2,1,1,211,One-timer,TIN
1003,13700,24,2,53.29,3,1,1,311,One-timer,TIN
1008,13769,23,1,2.99,3,1,1,311,One-timer,CHEAP
1012,13848,22,2,33.94,3,1,1,311,One-timer,TIN
1015,13866,42,1,2.8,2,1,1,211,One-timer,CHEAP
1016,13876,56,1,2.75,2,1,1,211,One-timer,CHEAP
1017,13889,31,1,1.95,3,1,1,311,One-timer,CHEAP
1018,13891,49,3,22.64,2,1,1,211,One-timer,TIN
1020,13940,46,3,19.299999999999997,2,1,1,211,One-timer,TIN
1021,13970,70,1,4.0,2,1,1,211,One-timer,CHEAP
1025,14030,59,2,501.86000000000007,2,1,2,212,One-timer,COPPER
1026,14032,3,3,84.04,3,1,1,311,One-timer,COPPER
1027,14070,73,1,4.95,2,1,1,211,One-timer,CHEAP
1028,14074,27,3,87.35,3,1,1,311,One-timer,COPPER
1031,14126,30,1,15.84,3,1,1,311,One-timer,CHEAP
1032,14142,4,3,259.96999999999997,3,1,1,311,One-timer,COPPER
1033,14143,39,2,8.98,2,1,1,211,One-timer,CHEAP
1035,14151,26,2,61.699999999999996,3,1,1,311,One-timer,COPPER
1039,14196,72,3,56.53,2,1,1,211,One-timer,TIN
1042,14225,13,1,9.59,3,1,1,311,One-timer,CHEAP
1045,14251,73,1,1.9,2,1,1,211,One-timer,CHEAP
1046,14252,21,1,35.85,3,1,1,311,One-timer,TIN
1047,14274,6,1,15.63,3,1,1,311,One-timer,CHEAP
1048,14307,11,1,13.6,3,1,1,311,One-timer,CHEAP
1052,14365,1,1,64.69,3,1,1,311,One-timer,COPPER
1054,14392,24,2,35.3,3,1,1,311,One-timer,TIN
1055,14401,6,2,23.090000000000003,3,1,1,311,One-timer,TIN
1058,14428,62,1,13.2,2,1,1,211,One-timer,CHEAP
1061,14473,71,3,18.810000000000002,2,1,1,211,One-timer,TIN
1063,14503,36,1,18.0,2,1,1,211,One-timer,TIN
1064,14536,10,1,5.2,3,1,1,311,One-timer,CHEAP
1065,14541,11,2,30.880000000000003,3,1,1,311,One-timer,TIN
1066,14553,42,2,300.47,2,1,1,211,One-timer,COPPER
1068,14581,61,1,1.45,2,1,1,211,One-timer,CHEAP
1069,14591,73,2,16.04,2,1,1,211,One-timer,TIN
1071,14629,10,2,116.27,3,1,1,311,One-timer,COPPER
1077,14749,58,3,30.84,2,1,1,211,One-timer,TIN
1079,14779,58,1,1.98,2,1,1,211,One-timer,CHEAP
1088,14941,24,3,70.79,3,1,1,311,One-timer,COPPER
1091,14983,52,1,17.8,2,1,1,211,One-timer,TIN
1093,15003,46,1,88.7,2,1,1,211,One-timer,COPPER
1095,15024,35,1,2.99,2,1,1,211,One-timer,CHEAP
1096,15033,23,1,4.99,3,1,1,311,One-timer,CHEAP
1097,15045,30,1,9.9,3,1,1,311,One-timer,CHEAP
1098,15071,49,2,54.599999999999994,2,1,1,211,One-timer,TIN
1099,15076,33,1,4.2,3,1,1,311,One-timer,CHEAP
1101,15164,27,1,5.98,3,1,1,311,One-timer,CHEAP
1102,15165,31,2,11.42,3,1,1,311,One-timer,CHEAP
1103,15169,13,1,12.540000000000001,3,1,1,311,One-timer,CHEAP
1106,15205,1,1,50.3,3,1,1,311,One-timer,TIN
1109,15260,21,2,20.7,3,1,1,311,One-timer,TIN
1111,15295,65,2,56.24,2,1,1,211,One-timer,TIN
1112,15320,28,3,19.27,3,1,1,311,One-timer,TIN
1123,15502,46,3,40.07,2,1,1,211,One-timer,TIN
1126,15555,0,3,69.78,3,1,1,311,One-timer,COPPER
1128,15582,71,3,25.95,2,1,1,211,One-timer,TIN
1133,15612,7,3,373.9,3,1,1,311,One-timer,COPPER
1135,15625,4,1,0.75,3,1,1,311,One-timer,CHEAP
1136,15632,4,3,56.08,3,1,1,311,One-timer,TIN
1137,15642,49,2,9.0,2,1,1,211,One-timer,CHEAP
1138,15651,46,2,43.84,2,1,1,211,One-timer,TIN
1144,15717,71,3,301.97,2,1,1,211,One-timer,COPPER
1148,15805,51,2,52.64,2,1,1,211,One-timer,TIN
1152,15837,1,2,21.9,3,1,1,311,One-timer,TIN
1154,15839,4,2,9.25,3,1,1,311,One-timer,CHEAP
1159,15882,73,3,157.55,2,1,1,211,One-timer,COPPER
1161,15930,31,3,9.5,3,1,1,311,One-timer,CHEAP
1170,16132,40,2,15.8,2,1,1,211,One-timer,CHEAP
1173,16165,35,1,1.75,2,1,1,211,One-timer,CHEAP
1174,16169,13,2,4.0,3,1,1,311,One-timer,CHEAP
1175,16199,60,1,30.03,2,1,1,211,One-timer,TIN
1178,16240,35,2,30.65,2,1,1,211,One-timer,TIN
1179,16242,23,3,47.17,3,1,1,311,One-timer,TIN
1180,16243,10,2,53.519999999999996,3,1,1,311,One-timer,TIN
1187,16330,46,2,31.59,2,1,1,211,One-timer,TIN
1189,16347,6,2,6.59,3,1,1,311,One-timer,CHEAP
1192,16379,62,1,2.8000000000000003,2,1,1,211,One-timer,CHEAP
1193,16382,23,2,32.65,3,1,1,311,One-timer,TIN
1194,16401,65,2,5.49,2,1,1,211,One-timer,CHEAP
1198,16432,65,1,115.89,2,1,1,211,One-timer,COPPER
1201,16455,4,3,135.63,3,1,1,311,One-timer,COPPER
1205,16509,37,2,10.97,2,1,1,211,One-timer,CHEAP
1206,16524,34,1,0.99,3,1,1,311,One-timer,CHEAP
1207,16537,23,3,13.71,3,1,1,311,One-timer,CHEAP
