,gender,flag_phone_provided,flag_privacy,region,favorite_store,loyalty_type,loyatlty_status,tenure,age,TBS,Recency,Frequency,Monetary,customer_id,CHURN,CLASS
22,F,1.0,False,LOMBARDIA,1,standard,1,88,37,10.0,4,4,307.61999999999995,802957,0,SILVER
23,F,1.0,True,LOMBARDIA,43,business premium,1,43,37,6.0,18,4,244.28000000000003,871380,1,SILVER
24,M,1.0,False,NOT_PROVIDED,15,standard,1,43,38,1.0,39,4,279.6,871964,1,SILVER
25,M,1.0,True,LOMBARDIA,48,standard,1,18,38,5.666666666666667,0,4,1105.02,910575,0,SILVER
26,M,0.0,True,SICILIA,28,premium,1,191,38,80.0,30,4,1549.02,636531,1,SILVER
27,M,1.0,True,LAZIO,39,standard,1,51,38,9.333333333333334,4,4,316.34000000000003,857312,1,SILVER
28,F,0.0,True,EMILIA ROMAGNA,41,premium,1,222,38,54.333333333333336,52,4,2125.7,60540,1,SILVER
29,F,1.0,True,LOMBARDIA,16,standard,1,370,38,329.0,11,4,1013.1999999999999,331909,1,SILVER
30,M,1.0,True,EMILIA ROMAGNA,11,standard,1,22,38,2.5,12,4,604.64,906037,0,SILVER
31,F,1.0,True,TRENTINO ALTO ADIGE,13,premium,1,52,38,7.0,35,4,430.35,856372,1,SILVER
32,M,1.0,True,LOMBARDIA,49,standard,1,117,38,22.0,71,4,399.52000000000004,762492,1,SILVER
33,M,0.0,True,SICILIA,1,standard,1,283,38,17.0,5,4,402.28999999999996,487621,1,SILVER
34,F,1.0,True,VENETO,44,business premium,1,265,38,70.66666666666667,52,4,933.4200000000001,515039,1,SILVER
35,M,1.0,True,LOMBARDIA,49,premium,1,45,39,6.0,24,4,613.36,773285,0,SILVER
36,F,1.0,True,LOMBARDIA,23,premium,1,312,39,83.66666666666667,60,4,274.27,433743,1,SILVER
37,F,1.0,True,LOMBARDIA,43,premium,1,294,40,77.33333333333333,52,4,302.83000000000004,469627,1,SILVER
38,F,1.0,True,TOSCANA,1,standard,1,152,40,52.0,32,4,667.72,719448,1,SILVER
39,M,1.0,True,PIEMONTE,23,standard,1,162,40,103.0,54,4,1195.1,184430,1,SILVER
40,M,1.0,True,LAZIO,33,standard,1,124,40,23.0,69,4,243.94,754108,1,SILVER
41,F,1.0,True,LOMBARDIA,49,standard,1,14,40,2.0,6,4,349.24,915437,0,SILVER
42,F,0.0,True,NOT_PROVIDED,49,standard,1,59,40,11.333333333333334,24,4,220.42000000000002,844845,1,SILVER
43,F,1.0,True,LOMBARDIA,48,standard,1,36,40,16.0,3,4,221.69000000000003,882575,0,SILVER
44,M,1.0,True,LOMBARDIA,30,business premium,1,236,40,58.333333333333336,59,4,247.45999999999998,96196,1,SILVER
45,M,0.0,True,ABRUZZO,25,premium,1,79,40,15.0,4,4,3126.4100000000003,765305,0,SILVER
46,F,1.0,True,LAZIO,29,business standard,1,468,40,83.0,62,4,222.1,30914,1,SILVER
47,F,1.0,True,LOMBARDIA,3,premium,1,281,40,136.5,6,4,601.78,491629,1,SILVER
48,F,0.0,True,CAMPANIA,1,standard,1,158,40,44.0,69,4,232.39999999999998,702374,1,SILVER
49,M,1.0,True,SICILIA,7,premium,1,171,40,56.0,58,4,337.76,676659,1,SILVER
50,F,1.0,True,LOMBARDIA,30,premium,1,59,40,14.333333333333334,7,4,758.69,845152,1,SILVER
51,M,1.0,True,LAZIO,33,premium,1,239,41,59.666666666666664,59,4,247.35000000000002,17455,1,SILVER
52,M,1.0,True,LOMBARDIA,34,standard,1,26,41,9.5,6,4,399.75000000000006,898133,0,SILVER
53,F,1.0,True,EMILIA ROMAGNA,41,premium,1,224,41,67.0,59,4,507.95,583395,1,SILVER
54,F,1.0,True,NOT_PROVIDED,5,premium,1,44,41,7.0,37,4,233.07,868898,1,SILVER
55,F,1.0,True,PUGLIA,46,premium,1,24,41,6.333333333333333,4,4,847.73,900223,0,SILVER
56,M,1.0,True,EMILIA ROMAGNA,24,standard,1,398,41,100.0,26,4,332.78,278120,1,SILVER
57,F,1.0,True,LAZIO,13,standard,1,380,41,36.0,57,4,555.4,317103,1,SILVER
58,F,1.0,True,PIEMONTE,2,premium,1,48,41,9.333333333333334,12,4,804.4000000000001,863147,0,SILVER
59,M,1.0,True,SICILIA,28,standard,1,52,41,3.0,45,4,529.89,855266,1,SILVER
60,F,1.0,True,VENETO,5,business premium,1,312,41,54.666666666666664,70,4,429.83000000000004,441329,1,SILVER
61,F,0.0,True,FRIULI VENEZIA GIULIA,4,standard,1,370,42,74.66666666666667,31,4,273.07,333157,1,SILVER
62,M,1.0,True,LOMBARDIA,1,standard,1,51,42,12.0,6,4,257.92,858747,1,SILVER
63,F,1.0,True,TOSCANA,19,business standard,1,285,42,72.0,27,4,2793.9,483979,1,SILVER
64,M,1.0,True,LOMBARDIA,1,premium,1,79,42,15.0,42,4,707.8,816268,1,SILVER
65,M,1.0,True,CAMPANIA,3,standard,1,21,42,6.0,13,4,478.74,906555,0,SILVER
66,M,1.0,True,VENETO,27,standard,1,203,42,28.666666666666668,67,4,574.46,615734,1,SILVER
67,F,0.0,True,EMILIA ROMAGNA,41,standard,1,399,42,300.0,34,4,1205.62,275414,1,SILVER
68,M,1.0,True,EMILIA ROMAGNA,24,business standard,1,447,42,116.33333333333333,4,4,522.5799999999999,175987,1,SILVER
69,M,1.0,False,VENETO,5,premium,1,161,42,53.333333333333336,0,4,362.38,695760,1,SILVER
70,F,1.0,True,SICILIA,6,premium,1,337,42,94.0,53,4,1258.1200000000001,397558,1,SILVER
71,M,1.0,True,NOT_PROVIDED,3,business standard,1,46,42,9.0,27,4,304.36,865725,1,SILVER
72,M,1.0,False,VENETO,1,standard,1,99,42,9.5,59,4,285.0,786460,1,SILVER
73,M,1.0,True,PUGLIA,46,premium,1,153,42,42.0,68,4,643.76,717137,1,SILVER
74,F,1.0,True,LOMBARDIA,30,premium,1,68,42,19.5,22,4,343.45000000000005,832161,1,SILVER
75,M,1.0,True,CAMPANIA,35,premium,1,147,43,38.5,68,4,246.46999999999997,727513,1,SILVER
76,M,1.0,True,SICILIA,7,premium,1,198,43,55.666666666666664,30,4,1573.49,81679,1,SILVER
77,F,1.0,True,TOSCANA,47,premium,1,69,43,30.0,4,4,581.73,830411,1,SILVER
78,F,1.0,True,LOMBARDIA,1,standard,1,350,43,151.5,21,4,270.41,373127,1,SILVER
79,M,1.0,True,SICILIA,7,standard,1,87,43,9.5,66,4,353.67,804106,1,SILVER
80,F,1.0,True,SICILIA,1,standard,1,280,43,148.0,30,4,324.40000000000003,492994,1,SILVER
81,F,1.0,True,PIEMONTE,20,premium,1,352,43,120.0,73,4,2071.11,369653,1,SILVER
82,F,1.0,True,PUGLIA,26,premium,1,352,43,107.66666666666667,25,4,738.65,371005,1,SILVER
83,F,1.0,True,LOMBARDIA,8,standard,1,378,43,4.0,1,4,392.62,320233,1,SILVER
84,M,1.0,True,PUGLIA,31,business premium,1,59,43,26.5,4,4,993.94,87428,1,SILVER
85,F,1.0,True,CAMPANIA,3,standard,1,34,43,4.5,21,4,398.39,886366,1,SILVER
86,M,1.0,True,LOMBARDIA,30,standard,1,379,44,135.0,66,4,530.3299999999999,78474,1,SILVER
87,F,1.0,True,TOSCANA,1,business premium,1,82,44,1.0,54,4,2356.1000000000004,812468,1,SILVER
88,F,1.0,True,LOMBARDIA,30,premium,1,66,44,14.666666666666666,0,4,1349.44,18201,0,SILVER
89,M,1.0,True,BASILICATA,46,premium,1,25,44,4.0,20,4,407.53999999999996,899488,0,SILVER
90,F,1.0,True,LOMBARDIA,30,premium,1,205,44,47.333333333333336,51,4,713.41,612115,1,SILVER
91,M,1.0,True,VENETO,44,premium,1,65,44,17.0,47,4,222.28,99142,1,SILVER
92,F,1.0,True,SICILIA,1,standard,1,76,44,15.5,11,4,415.38,816372,1,SILVER
93,F,1.0,True,LOMBARDIA,32,premium,1,275,44,60.0,68,4,1106.1200000000001,498846,1,SILVER
94,F,1.0,True,LAZIO,33,business standard,1,387,44,92.66666666666667,22,4,502.23,240855,1,SILVER
95,F,0.0,True,LAZIO,39,standard,1,43,44,12.0,3,4,229.12,871597,0,SILVER
96,F,1.0,True,PUGLIA,46,premium,1,86,44,11.0,6,4,4585.66,806409,0,SILVER
97,F,1.0,True,LOMBARDIA,1,business standard,1,103,44,7.0,28,4,412.26,781118,1,SILVER
98,F,1.0,True,EMILIA ROMAGNA,11,standard,1,53,44,9.0,25,4,372.78999999999996,854710,1,SILVER
99,M,1.0,True,LIGURIA,20,standard,1,383,45,51.0,21,4,254.23,306890,1,SILVER
100,M,0.0,True,LOMBARDIA,8,standard,1,480,45,57.0,27,4,557.19,84923,1,SILVER
101,F,1.0,False,EMILIA ROMAGNA,41,standard,1,45,45,11.0,10,4,463.09000000000003,86248,0,SILVER
102,M,1.0,True,OTHERS,2,premium,1,24,45,18.0,5,4,369.39,901654,0,SILVER
103,F,0.0,True,LAZIO,33,standard,1,375,45,26.0,4,4,821.55,323469,1,SILVER
104,F,1.0,True,LOMBARDIA,1,standard,1,296,45,97.0,0,4,284.46999999999997,467142,1,SILVER
105,M,1.0,True,LAZIO,33,standard,1,325,45,88.0,59,4,312.34,419339,1,SILVER
106,M,1.0,True,CAMPANIA,38,business standard,1,445,45,51.333333333333336,19,4,313.82,178821,1,SILVER
107,M,1.0,True,SICILIA,6,premium,1,173,45,85.5,1,4,347.9800000000001,673110,1,SILVER
108,M,1.0,True,NOT_PROVIDED,5,premium,1,44,45,13.0,4,4,409.4500000000001,869995,0,SILVER
109,F,1.0,True,LAZIO,33,premium,1,168,46,44.0,20,4,372.41999999999996,682062,1,SILVER
110,M,1.0,True,LOMBARDIA,49,premium,1,70,46,20.0,0,4,732.0799999999999,828613,0,SILVER
111,F,1.0,True,LOMBARDIA,49,standard,1,64,46,15.333333333333334,5,4,255.76,837691,1,SILVER
112,F,1.0,False,LOMBARDIA,43,business standard,1,162,46,24.666666666666668,55,4,299.4,34983,1,SILVER
113,F,1.0,True,LOMBARDIA,17,standard,1,470,46,67.0,59,4,266.6,129700,1,SILVER
114,F,0.0,True,VENETO,22,premium,1,219,46,80.0,58,4,299.49,591411,1,SILVER
115,F,0.0,True,PIEMONTE,2,standard,1,115,46,16.0,5,4,656.61,764406,1,SILVER
116,F,1.0,True,PIEMONTE,2,standard,1,420,46,66.0,65,4,255.23,46792,1,SILVER
117,F,1.0,True,EMILIA ROMAGNA,41,premium,1,405,46,82.66666666666667,72,4,401.92,77033,1,SILVER
118,F,1.0,True,NOT_PROVIDED,3,standard,1,44,46,7.666666666666667,19,4,294.39,868913,1,SILVER
119,M,1.0,True,PIEMONTE,21,standard,1,50,47,4.0,11,4,434.9,860246,1,SILVER
120,M,1.0,True,EMILIA ROMAGNA,41,business standard,1,325,47,90.66666666666667,52,4,236.33,92094,1,SILVER
121,F,1.0,True,CAMPANIA,3,business standard,1,60,47,16.5,25,4,256.81000000000006,843840,1,SILVER
122,M,1.0,True,SICILIA,7,standard,1,55,47,13.333333333333334,13,4,328.49,844678,1,SILVER
123,F,0.0,True,VENETO,27,premium,1,217,47,8.666666666666666,22,4,1447.19,514226,1,SILVER
124,F,1.0,True,LAZIO,33,standard,1,53,47,8.5,35,4,286.86999999999995,854117,1,SILVER
125,F,1.0,True,LOMBARDIA,15,standard,1,253,47,77.66666666666667,18,4,357.77,533290,1,SILVER
126,F,1.0,True,PIEMONTE,45,standard,1,62,47,17.0,20,4,368.54999999999995,841385,1,SILVER
127,F,1.0,True,TOSCANA,19,standard,1,402,47,117.66666666666667,0,4,249.91000000000003,270318,1,SILVER
128,F,1.0,True,EMILIA ROMAGNA,11,standard,1,64,47,19.0,44,4,377.59000000000003,361978,1,SILVER
129,F,1.0,True,VENETO,5,premium,1,202,47,42.666666666666664,67,4,892.0,606860,1,SILVER
130,M,1.0,False,LOMBARDIA,1,standard,1,110,47,50.0,10,4,314.69999999999993,771005,0,SILVER
131,M,1.0,True,LAZIO,42,premium,1,370,48,68.66666666666667,66,4,586.71,333506,1,SILVER
132,F,1.0,True,LAZIO,39,standard,1,174,48,19.666666666666668,73,4,348.62,670162,1,SILVER
133,F,0.0,True,LOMBARDIA,17,premium,1,74,49,5.333333333333333,18,4,2173.7999999999997,823762,0,SILVER
134,M,1.0,True,PUGLIA,46,business standard,1,169,51,70.0,27,4,455.59,677632,1,SILVER
135,M,1.0,True,SICILIA,6,premium,1,62,51,15.666666666666666,13,4,259.24,841395,0,SILVER
136,M,1.0,True,LOMBARDIA,1,premium,1,199,51,27.333333333333332,31,4,323.22999999999996,621328,0,SILVER
137,F,1.0,True,PUGLIA,31,premium,1,193,52,36.666666666666664,51,4,598.4,632764,1,SILVER
138,M,1.0,False,LAZIO,29,premium,1,93,52,24.0,44,4,391.09000000000003,31816,0,SILVER
139,F,1.0,True,VENETO,44,standard,1,95,52,7.333333333333333,72,4,275.58,792067,1,SILVER
140,M,1.0,True,LAZIO,37,business standard,1,237,52,2.0,40,4,896.8800000000001,560518,1,SILVER
141,F,1.0,True,LAZIO,33,standard,1,465,52,10.333333333333334,66,4,496.07000000000005,138562,1,SILVER
142,M,1.0,False,LIGURIA,20,standard,1,164,52,33.0,20,4,279.51,688387,0,SILVER
143,M,1.0,True,VENETO,44,business standard,1,245,53,63.666666666666664,53,4,335.45000000000005,440930,1,SILVER
144,F,1.0,False,CAMPANIA,38,business premium,1,97,53,19.0,39,4,286.95,23456,0,SILVER
145,F,1.0,True,UMBRIA,9,standard,1,99,53,21.666666666666668,32,4,236.30999999999997,102460,1,SILVER
146,M,1.0,True,CAMPANIA,35,standard,1,90,54,60.0,28,4,473.49,800016,0,SILVER
147,M,1.0,False,LOMBARDIA,30,premium,1,129,54,23.666666666666668,44,4,597.4899999999999,74705,0,SILVER
148,M,1.0,True,LOMBARDIA,49,business premium,1,284,54,83.33333333333333,32,4,695.89,486397,0,SILVER
149,F,1.0,True,SICILIA,7,premium,1,227,55,40.666666666666664,11,4,1481.2999999999997,576842,0,SILVER
150,F,0.0,True,VENETO,27,business premium,1,39,55,11.0,27,4,1551.6699999999998,876776,0,SILVER
151,M,1.0,True,LIGURIA,1,premium,1,229,55,71.33333333333333,10,4,235.41000000000003,19153,0,SILVER
152,M,1.0,True,SICILIA,28,premium,1,120,55,28.666666666666668,32,4,2210.44,759433,0,SILVER
153,M,1.0,True,LOMBARDIA,34,premium,1,192,55,40.0,59,4,421.15000000000003,574856,0,SILVER
154,M,1.0,True,LIGURIA,19,standard,1,408,56,77.66666666666667,5,4,754.8600000000001,259105,0,SILVER
155,M,1.0,True,PIEMONTE,2,premium,1,123,56,17.0,46,4,257.86,755531,0,SILVER
156,M,1.0,False,TOSCANA,9,premium,1,115,56,31.0,52,4,307.47,765184,0,SILVER
157,F,1.0,True,SICILIA,7,premium,1,353,57,105.33333333333333,35,4,302.29,366961,0,SILVER
158,M,1.0,False,PIEMONTE,1,standard,1,100,57,20.666666666666668,23,4,738.96,786346,0,SILVER
159,M,1.0,True,EMILIA ROMAGNA,24,standard,1,242,57,70.0,52,4,378.96,552422,0,SILVER
160,F,1.0,True,LIGURIA,30,business premium,1,197,58,44.666666666666664,61,4,404.83,492515,1,SILVER
161,M,1.0,True,LOMBARDIA,1,standard,1,214,58,34.0,22,4,247.79000000000002,598225,0,SILVER
162,M,1.0,False,UMBRIA,9,premium,1,154,58,36.666666666666664,43,4,233.80000000000004,715761,0,SILVER
163,M,1.0,True,EMILIA ROMAGNA,24,premium,1,163,58,33.333333333333336,45,4,409.73,690532,0,SILVER
164,M,1.0,True,SICILIA,7,premium,1,100,59,13.666666666666666,58,4,398.12,785491,0,SILVER
165,M,1.0,False,SICILIA,6,premium,1,110,59,16.666666666666668,58,4,284.25000000000006,771672,0,SILVER
166,F,1.0,True,TOSCANA,19,premium,1,85,59,11.0,74,4,624.1700000000001,807504,1,SILVER
167,F,1.0,True,MARCHE,1,standard,1,92,59,27.5,32,4,688.1400000000001,798045,1,SILVER
168,F,1.0,True,LAZIO,37,premium,1,172,59,35.5,60,4,246.37,157475,1,SILVER
169,M,1.0,True,LOMBARDIA,23,standard,1,91,60,28.0,5,4,655.3,799213,0,SILVER
170,M,1.0,True,CAMPANIA,35,standard,0,78,60,24.0,53,4,346.65999999999997,817747,0,SILVER
171,M,1.0,True,TOSCANA,19,premium,1,173,60,50.333333333333336,6,4,573.61,89645,0,SILVER
172,M,1.0,True,LAZIO,13,business premium,1,91,60,19.666666666666668,30,4,447.52,799176,0,SILVER
173,F,1.0,False,EMILIA ROMAGNA,41,premium,1,106,60,24.0,32,4,361.97999999999996,729973,0,SILVER
174,F,1.0,False,LAZIO,1,premium,1,159,61,107.0,10,4,593.48,699813,0,SILVER
175,M,1.0,False,PUGLIA,46,premium,1,111,61,27.666666666666668,26,4,609.5099999999999,770792,0,SILVER
176,F,1.0,True,CAMPANIA,3,standard,1,73,61,16.0,40,4,272.42,824345,0,SILVER
177,F,1.0,True,CAMPANIA,35,premium,1,231,61,61.0,47,4,694.19,570948,0,SILVER
178,F,0.0,True,LAZIO,13,premium,1,141,62,56.5,3,4,575.8100000000001,736690,0,SILVER
179,M,1.0,False,FRIULI VENEZIA GIULIA,4,standard,1,163,62,53.666666666666664,1,4,559.1999999999999,691798,0,SILVER
180,M,1.0,False,CAMPANIA,35,business standard,1,81,62,61.0,19,4,548.0899999999999,812742,0,SILVER
181,M,1.0,True,TOSCANA,47,standard,1,178,62,42.333333333333336,49,4,409.4699999999999,663190,0,SILVER
182,M,1.0,True,PUGLIA,46,standard,1,261,62,54.666666666666664,5,4,310.93999999999994,521688,0,SILVER
183,M,1.0,False,VENETO,44,business premium,1,73,62,7.5,57,4,423.29999999999995,824836,0,SILVER
184,M,1.0,False,PUGLIA,31,premium,1,226,63,53.0,65,4,582.55,580438,0,SILVER
185,F,1.0,True,LOMBARDIA,15,standard,1,386,63,79.66666666666667,51,4,431.28999999999996,301456,0,SILVER
186,F,1.0,False,LOMBARDIA,49,standard,1,93,63,34.0,24,4,287.15,99057,0,SILVER
187,M,1.0,False,SICILIA,7,premium,1,93,63,17.666666666666668,26,4,640.55,3684,0,SILVER
188,F,1.0,False,LAZIO,33,premium,1,116,63,23.333333333333332,43,4,1012.84,763864,0,SILVER
189,M,1.0,False,LIGURIA,20,standard,1,92,63,21.666666666666668,25,4,306.15,797750,0,SILVER
190,F,1.0,False,LOMBARDIA,48,premium,1,91,63,22.333333333333332,21,4,327.5,761972,0,SILVER
191,M,1.0,True,VENETO,5,standard,1,107,63,33.0,19,4,1692.46,776241,0,SILVER
192,M,1.0,True,CAMPANIA,3,premium,1,86,64,11.0,51,4,422.84,807079,0,SILVER
193,F,1.0,True,LAZIO,33,standard,1,124,64,21.666666666666668,55,4,316.78999999999996,754157,0,SILVER
194,M,1.0,True,LOMBARDIA,49,standard,1,421,64,118.66666666666667,1,4,332.46000000000004,230269,0,SILVER
195,M,1.0,True,LOMBARDIA,34,standard,1,250,64,20.5,60,4,240.22000000000003,538407,0,SILVER
196,M,1.0,True,LOMBARDIA,30,premium,1,102,65,18.0,47,4,637.3199999999999,782675,0,SILVER
197,M,1.0,False,TOSCANA,19,standard,1,84,65,14.0,28,4,561.6500000000001,706567,0,SILVER
198,M,1.0,True,LOMBARDIA,8,standard,1,100,65,15.5,65,4,235.76999999999995,785607,0,SILVER
199,F,1.0,True,PIEMONTE,1,standard,1,156,66,57.0,5,4,647.95,712158,0,SILVER
200,M,0.0,True,NOT_PROVIDED,49,standard,1,100,66,31.0,6,4,233.99000000000004,785377,0,SILVER
201,F,0.0,False,PIEMONTE,2,premium,1,144,66,28.333333333333332,51,4,1212.89,731258,0,SILVER
202,M,1.0,False,TOSCANA,47,premium,1,84,67,20.666666666666668,13,4,257.27,809096,0,SILVER
203,M,1.0,False,LAZIO,39,standard,1,135,67,24.666666666666668,58,4,297.89,744851,0,SILVER
204,F,0.0,False,CAMPANIA,3,business premium,1,90,67,26.5,36,4,227.29000000000002,799677,0,SILVER
205,M,1.0,False,LOMBARDIA,17,standard,1,416,67,106.0,7,4,429.51,49510,0,SILVER
206,M,1.0,True,ABRUZZO,25,premium,1,92,67,23.0,22,4,489.36,45268,0,SILVER
207,M,1.0,False,BASILICATA,46,premium,1,134,69,56.5,20,4,872.1800000000001,745339,0,SILVER
208,M,1.0,False,LOMBARDIA,43,standard,1,100,69,26.333333333333332,11,4,958.4299999999998,785507,0,SILVER
209,M,1.0,True,VENETO,22,standard,1,183,69,12.0,34,4,312.49,640875,0,SILVER
210,F,1.0,False,PUGLIA,31,premium,1,80,70,11.666666666666666,44,4,346.2,814032,0,SILVER
211,F,1.0,True,LAZIO,39,premium,1,103,70,19.0,11,4,365.54,781242,0,SILVER
212,M,1.0,True,UMBRIA,9,standard,1,80,70,23.0,10,4,711.34,814292,0,SILVER
213,M,0.0,True,ABRUZZO,25,premium,1,479,71,83.0,43,4,701.25,113283,0,SILVER
214,M,1.0,True,FRIULI VENEZIA GIULIA,4,standard,1,433,71,50.0,7,4,394.4,203547,0,SILVER
215,M,1.0,True,LIGURIA,20,premium,1,113,71,25.666666666666668,34,4,423.36999999999995,714484,0,SILVER
216,M,1.0,True,BASILICATA,26,standard,1,107,72,27.666666666666668,23,4,259.77,776435,0,SILVER
217,M,1.0,False,LAZIO,29,premium,1,121,72,27.333333333333332,37,4,554.4,758243,0,SILVER
218,F,1.0,True,CAMPANIA,38,premium,1,240,72,40.5,63,4,429.69,557118,0,SILVER
219,M,1.0,False,CAMPANIA,38,premium,1,128,72,48.0,31,4,327.68000000000006,751887,0,SILVER
220,M,1.0,False,VENETO,27,premium,1,262,72,102.0,58,4,222.01999999999998,520183,0,SILVER
221,M,1.0,True,PUGLIA,46,premium,1,80,74,34.0,11,4,815.46,814268,0,SILVER
222,M,1.0,True,PIEMONTE,21,standard,1,139,74,6.333333333333333,55,4,256.75,739205,0,SILVER
223,M,0.0,False,LAZIO,39,standard,1,71,74,7.333333333333333,47,4,395.06,827770,0,SILVER
224,M,1.0,False,SICILIA,7,standard,1,267,75,67.66666666666667,63,4,276.45000000000005,512447,0,SILVER
225,M,1.0,True,LOMBARDIA,1,standard,1,181,75,42.666666666666664,23,4,687.4700000000001,655961,0,SILVER
226,M,1.0,True,VENETO,1,business standard,1,84,77,14.5,37,4,839.9300000000001,808922,0,SILVER
227,M,1.0,False,SICILIA,7,premium,1,362,79,111.66666666666667,26,4,1257.78,51610,0,SILVER
228,F,1.0,True,SICILIA,6,standard,1,229,26,80.5,27,4,273.30999999999995,573606,1,SILVER
229,F,1.0,True,NOT_PROVIDED,7,premium,1,44,28,0.0,44,4,921.33,868359,1,SILVER
230,M,1.0,True,LOMBARDIA,30,premium,1,340,29,92.66666666666667,61,4,555.1899999999999,308961,1,SILVER
231,F,0.0,True,UMBRIA,9,business standard,1,322,30,97.66666666666667,28,4,238.22000000000003,17864,1,SILVER
232,M,1.0,True,LOMBARDIA,32,premium,1,52,31,4.0,30,4,610.4599999999999,841401,1,SILVER
233,F,1.0,True,LOMBARDIA,36,standard,1,180,31,13.666666666666666,72,4,341.9,658446,1,SILVER
234,F,1.0,True,LAZIO,29,business premium,1,158,32,80.0,72,5,314.98,705691,1,SILVER
235,M,1.0,True,LOMBARDIA,34,premium,1,161,32,49.0,10,5,1370.0199999999998,696151,1,SILVER
236,F,1.0,True,VENETO,44,standard,1,23,33,5.666666666666667,5,4,282.1500000000001,903292,0,SILVER
237,F,1.0,True,PUGLIA,1,premium,1,201,33,56.333333333333336,23,4,2232.43,618856,1,SILVER
238,F,1.0,True,LOMBARDIA,30,premium,1,87,34,23.0,10,4,1097.1999999999998,808524,1,SILVER
239,M,1.0,True,VENETO,44,premium,1,361,34,96.0,72,4,467.68999999999994,331325,1,SILVER
240,M,1.0,True,EMILIA ROMAGNA,24,standard,1,207,35,50.75,1,5,243.11,609091,1,SILVER
241,F,0.0,True,CAMPANIA,3,premium,1,65,35,9.0,37,5,248.98000000000002,836099,0,SILVER
242,M,1.0,True,LOMBARDIA,23,premium,1,340,35,89.33333333333333,5,4,700.12,391641,1,SILVER
243,F,1.0,True,PIEMONTE,45,standard,1,130,36,15.0,66,5,298.11,102752,1,SILVER
244,M,1.0,True,LAZIO,33,standard,1,351,36,11.0,23,4,297.64,267364,1,SILVER
245,F,1.0,True,LAZIO,33,standard,1,33,36,4.0,22,4,489.37000000000006,887742,1,SILVER
246,F,1.0,True,LOMBARDIA,34,premium,1,41,37,8.5,3,5,494.06000000000006,874840,0,SILVER
247,M,1.0,True,ABRUZZO,25,standard,1,58,38,13.0,44,5,363.13,847515,1,SILVER
248,M,1.0,True,CAMPANIA,1,standard,1,160,38,24.333333333333332,71,4,371.51,699180,1,SILVER
249,M,1.0,True,SICILIA,7,premium,1,54,38,1.0,52,5,442.76000000000005,852808,1,SILVER
250,M,1.0,True,LAZIO,39,business premium,1,55,38,10.666666666666666,1,5,2023.5900000000001,851841,0,SILVER
251,F,1.0,True,LAZIO,37,premium,1,288,38,54.333333333333336,11,4,1028.3799999999999,479938,1,SILVER
252,F,1.0,True,LAZIO,39,premium,1,44,38,10.0,1,5,588.39,869569,0,SILVER
253,M,1.0,True,CAMPANIA,35,premium,1,35,38,102.5,19,5,245.13000000000002,69561,1,SILVER
