,Unnamed: 0.1,Unnamed: 0,order_id,customer_id,store_id,product_id,direction,gross_price,price_reduction,perc_price_reduction,purchase_datetime,TBS,churn
828,3227,4692,baca712b8f6c10fcb191bac8417044b8,2185,45,33439861,1,4.2,0.0,0.0,2023-03-01,202.0,1.0
835,3254,4719,d5ae904faae3f0b7e619c34ea6b5d305,2191,31,36590106,1,16.99,0.0,0.0,2023-04-02,108.0,1.0
854,3328,4806,c60fd471e2265376efa499340f0942c4,2216,43,30699102,1,11.25,0.0,0.0,2022-12-21,174.0,1.0
887,3422,4933,de789cabffbec749c4c2bfce2ebf0b40,2339,10,32591965,1,2.95,0.0,0.0,2023-03-17,198.0,1.0
898,3465,4983,b432a3268f9641d13eb0dc01bcb69460,2353,32,33700716,1,0.2,0.0,0.0,2022-12-03,141.0,1.0
902,3483,5001,23f7a9cdde4adb6381b9a3686eccd24d,2381,43,34916035,1,2.5,0.0,0.0,2022-11-03,115.0,1.0
904,3495,5013,93210bc8e6627dd9b1bbd4652a63ae24,2381,43,33766040,1,13.0,0.0,0.0,2023-03-21,119.0,1.0
908,3503,5021,8b8bf0a86d493c28fe0e76f771d4adf1,2388,34,35895013,1,3.99,0.0,0.0,2023-04-24,154.0,1.0
910,3507,5025,a57335a6ee81500a161dd5e4d7ab2583,2409,10,33700716,1,0.2,0.0,0.0,2023-03-17,168.0,1.0
922,3544,5062,035d071c587e24476040b78f3ff08b49,2428,8,32448794,1,0.88,0.0,0.0,2023-04-04,194.0,1.0
978,3695,5215,4c3210cbe14b84684ab64c01a8e53747,2500,21,35925050,1,5.98,0.9,15.050167224080266,2022-12-06,186.0,1.0
979,3697,5217,8faf8f6d35695d82333d7b20053673e7,2514,30,33323115,1,3.25,0.0,0.0,2023-01-06,172.0,1.0
999,3749,5270,a014ffc8e710bc4101712edf21565318,2551,45,35903252,1,22.35,0.0,0.0,2022-11-15,136.0,1.0
1002,3754,5275,ed7885e0d5fb3c30676c51b76655d603,2557,22,35295883,1,9.99,0.0,0.0,2022-09-20,112.0,1.0
1023,3805,5327,1d41a2049d7db83b65ebff070413a5b9,2588,15,35165543,1,10.99,0.0,0.0,2023-04-09,228.0,1.0
1033,3835,5358,b64d78f76e06a5c14cc18ed083800efe,2612,10,35652974,1,13.49,0.0,0.0,2023-03-22,197.0,1.0
1054,3886,5417,811892951d735ab738816160a3b1ea8b,2695,16,33700716,1,0.2,0.0,0.0,2023-04-10,114.0,1.0
1062,3922,5461,1aaba9b5693e7d5a5ec00e5bf91bda0c,2721,17,82042968,1,2.95,0.0,0.0,2023-03-31,203.0,1.0
1068,3933,5472,90e3c2164217e900e1b4b715adcf5f6a,2726,16,34269851,1,4.9,0.0,0.0,2022-10-22,136.0,1.0
1079,3959,5498,6c5e69140c1808b27ea013dcfecafa3c,2727,16,35442596,1,8.4,0.0,0.0,2022-10-09,137.0,1.0
1098,4018,5557,3ecce1bef469a4c0d73b41f35ca676cf,2746,34,33700716,1,0.2,0.0,0.0,2022-11-28,110.0,1.0
1107,4051,5590,ad6792f10d04552e57c6e907724460b2,2773,17,31209192,1,1.9,0.0,0.0,2023-01-19,150.0,1.0
1114,4068,5607,aaf89606b7fc8493ba97d95881695182,2784,49,35837613,1,16.0,0.0,0.0,2023-04-06,148.0,1.0
1129,4119,5658,a64d2c3919e1db40139f1f6df371db7d,2823,32,33700716,1,0.2,0.0,0.0,2022-11-14,107.0,1.0
1157,4261,5801,3caa307ff2e5dcffcbc1ed3bcf686c8c,2848,26,36325170,1,777.0,0.0,0.0,2022-10-19,148.0,1.0
1158,4263,5803,e8686e144abb657adf1303ab10de3e3d,2851,34,34307210,1,2.95,0.0,0.0,2023-03-08,116.0,1.0
1162,4270,5811,a6513c3ed922d1363e23e24ce9600665,2875,44,32715354,1,3.95,0.46,11.645569620253164,2022-11-16,108.0,1.0
1163,4275,5818,8c56f72d280387a6a0581dbf265b304d,2882,17,33120913,1,2.8,0.0,0.0,2022-11-03,154.0,1.0
1164,4277,5820,6ec86331cda2a8f6267ef45cf78f656a,2882,17,35744814,1,1.5,0.0,0.0,2023-02-20,109.0,1.0
1169,4306,5849,788c13493d64a4c276c451b129e682e0,2927,34,34609722,1,5.9,0.0,0.0,2022-10-06,119.0,1.0
1174,4342,5887,f86ac4841d78e915e54bac83149b17e9,2979,34,33817091,1,0.5,0.0,0.0,2023-03-02,280.0,1.0
1175,4348,5893,1ed538e536ed04d7daa61388256752f4,2995,34,81258533,1,4.99,0.0,0.0,2022-12-20,143.0,1.0
1186,4388,5933,553d7c7c01c23e8da4672ad90e1b60e5,3023,34,34295702,1,1.4,0.0,0.0,2023-04-12,198.0,1.0
1198,4485,6060,dc06e6df8ebb9602aff1740e580e3007,3048,28,81265211,1,2.99,0.0,0.0,2022-10-17,111.0,1.0
1207,4530,6105,389c5da3c9181ee55542e4a7d381408a,3121,42,34340152,1,13.99,0.0,0.0,2023-01-16,126.0,1.0
1219,4568,6143,79a8be845bb2ade9ddcb129abb8f90dd,3127,39,32882024,1,1.0,0.0,0.0,2023-02-23,119.0,1.0
1230,4590,6167,60da276cd5f651a6bed1ac6057809e0b,3132,39,35439124,1,4.25,0.0,0.0,2023-02-04,213.0,1.0
1234,4613,6190,b686511a74a11c902e59c62f5590891d,3168,15,35881790,1,2.38,0.0,0.0,2022-11-22,118.0,1.0
1235,4614,6191,fa3ccc29a5e78f2a45a8b000e0e37424,3168,15,33700716,1,0.2,0.0,0.0,2023-04-10,139.0,1.0
1236,4622,6201,0702b79781076e0bee5fc645f3195480,3171,17,36101534,1,39.9,0.0,0.0,2022-10-08,122.0,1.0
1239,4641,6222,0f23954b575478c7608a77d47b1f1ed4,3217,9,35851116,1,1.8,0.0,0.0,2023-02-25,133.0,1.0
1245,4670,6251,df0db45cc8180716c57a5d701f01172e,3251,34,34219346,1,4.9,0.0,0.0,2023-04-29,267.0,1.0
1259,4730,6313,be2969371918477c350c8bbf9fe6dcd7,3252,32,35895482,1,9.99,0.0,0.0,2023-04-17,144.0,1.0
1262,4741,6324,01860e78005321d54de4b72a6f199fa7,3281,9,30126292,1,1.55,0.0,0.0,2023-01-05,167.0,1.0
1267,4760,6344,110e3c263ba6d2aa17f8be59b44dbfe5,3287,43,33700716,1,0.2,0.0,0.0,2022-11-11,161.0,1.0
1268,4763,6347,ba7038cc6fc3912e8bacff3b237e92f5,3287,43,33700716,1,0.2,0.0,0.0,2023-03-09,118.0,1.0
1270,4772,6356,18c40267801cf02d9f869238361b0e20,3321,15,36214080,1,0.6,0.0,0.0,2022-11-21,148.0,1.0
1280,4799,6383,f5bb5ee630410beeb8ec4e904b1c6e71,3360,28,35750281,1,1.2,0.12,10.0,2023-02-22,110.0,1.0
1304,4850,6434,d44b292465bfbdca49747d72fe691408,3375,45,35990871,1,19.9,0.0,0.0,2023-03-08,125.0,1.0
1317,4922,6506,6cf0bc41360ec9460ce86a76660a34be,3462,39,35411796,1,2.65,0.0,0.0,2023-03-20,259.0,1.0
1323,4948,6532,6fc40daaa5b2a858811fb7ee64677ab8,3473,4,35848120,1,63.84,0.0,0.0,2023-04-10,202.0,1.0
1324,4952,6536,b85ff62deb57487ba8dc6c080e40f9e0,3476,39,33700716,1,0.2,0.0,0.0,2023-01-27,185.0,1.0
1336,4999,6583,11f810b58e717223ea46987ef110901d,3523,13,33009326,1,64.75,0.0,0.0,2023-03-19,192.0,1.0
1339,5005,6589,4021b3ddd6d8ea4720df8115f9976739,3531,13,34649832,1,1.9,0.0,0.0,2022-11-24,127.0,1.0
1350,5038,6622,057d4726281d0cf12098cb12c36122d8,3543,39,31047443,1,1.96,0.0,0.0,2023-03-18,132.0,1.0
1353,5054,6638,9349516174679ac7d12e253b166fa5cf,3554,42,33817091,1,0.5,0.0,0.0,2023-03-09,137.0,1.0
1360,5084,6668,f36f7d695ec68ea5463e82059fcf3151,3569,39,35782642,1,2.65,0.0,0.0,2023-03-20,253.0,1.0
1361,5088,6673,873215a29cd7d15d58bc5d36425fb255,3572,39,36590085,1,9.49,0.0,0.0,2023-04-20,237.0,1.0
1366,5106,6691,dd880234a3aedde918c4d317b6a983ea,3626,39,35905016,1,11.99,2.0,16.680567139282733,2022-09-22,135.0,1.0
1367,5107,6692,b28239728f3688aafc5a559df5e3a651,3626,39,34906403,1,99.9,10.0,10.01001001001001,2023-01-15,115.0,1.0
1373,5133,6718,821713676f1f3d9b6d020a9d27c83a6e,3630,34,36085462,1,3.9,0.0,0.0,2023-02-11,172.0,1.0
1407,5235,6827,b84a77968d4da336ef67afdc2365201c,3714,10,36578346,1,14.9,0.0,0.0,2023-02-26,285.0,1.0
1408,5239,6831,f8924e378d71289cf5321dfddce9f439,3719,16,35931112,1,2.0,0.0,0.0,2022-11-26,192.0,1.0
1418,5264,6857,3e56d1d8d645848860ec6288d58a9ea7,3781,42,35890113,1,5.0,0.0,0.0,2023-04-17,226.0,1.0
1456,5364,6959,831fcc10af62a3d522e464aa8eaaabd2,3828,42,31407005,1,1.26,0.0,0.0,2022-10-13,133.0,1.0
1466,5386,6981,b89c6985ac33f105af327d2c16954faf,3829,6,33817091,1,0.5,0.05,10.0,2023-02-09,111.0,1.0
1470,5397,7035,c4e543743eb791ddb9ec1099a9add6a8,3839,34,82040488,1,9.99,5.0,50.05005005005005,2023-01-16,207.0,1.0
1494,5473,7111,39b72607367706d8230a9e0f9d23202d,3896,34,33700716,1,0.2,0.0,0.0,2023-03-14,304.0,1.0
1531,5610,7249,8fcf6692bda280f6e8512f9989500130,4022,39,32882024,1,1.0,0.1,10.0,2023-02-02,140.0,1.0
1538,5649,7288,fffb3c66723ca69cd42b18f5913d2ca9,4028,33,33932416,1,2.95,0.0,0.0,2022-11-26,113.0,1.0
1580,5846,7502,a268e7ee41a9be264a5cf9ddd5d11bfd,4164,39,33700716,1,0.2,0.0,0.0,2023-04-09,161.0,1.0
1584,5854,7510,c410ed5b220ebf71564c1dc2104a8500,4165,42,35315245,1,4.95,0.0,0.0,2022-09-22,125.0,1.0
1596,5883,7540,0320dd3e1c100983fb976411d7766117,4201,33,34334643,1,29.0,4.35,15.0,2022-11-23,150.0,1.0
1600,5904,7561,707dd48e50ace0c26ea59e9db5cac0ec,4226,33,82026199,1,59.7,0.03,0.050251256281407,2022-12-15,175.0,1.0
1604,5913,7571,91ac3be09caa4492a306d0f7f2d812ea,4238,37,36216432,1,5.9,0.0,0.0,2023-03-29,158.0,1.0
1626,5973,7659,ae464599e5099981d72b9cd3d6840a73,4316,46,33120381,1,7.1,0.0,0.0,2023-01-11,226.0,1.0
1667,6131,7828,3b68120e75e586d5377033bea320fa51,4456,10,36469706,1,119.0,0.0,0.0,2022-10-22,157.0,1.0
1675,6168,7866,37bf8c659e8223dfdd935de136ec837f,4501,44,81258535,1,11.98,0.0,0.0,2023-01-20,130.0,1.0
1680,6178,7876,350dbcfd39cf6f7fbc700b3de5297aa9,4508,17,36158185,1,29.9,0.0,0.0,2022-11-24,126.0,1.0
1684,6200,7900,5439dc0a199601cae42cc23d46357c36,4555,34,33972456,1,49.9,0.01,0.0200400801603206,2023-01-31,134.0,1.0
1709,6308,8008,1404dbf8d1f754e07ccedf976de93e95,4583,29,33817091,1,0.5,0.0,0.0,2022-12-09,190.0,1.0
1727,6386,8088,aa8961b9d14fd4ecc909bc3d11f1c92c,4676,37,34269844,1,4.9,0.74,15.102040816326529,2022-11-23,152.0,1.0
1744,6439,8143,f02a8e85e9ecb9d8587cfac4ad8bb43c,4721,17,36102815,1,3.0,0.0,0.0,2023-02-11,126.0,1.0
1787,6577,8284,4263854322b82d3e4cc40c464051ab60,4760,6,33700716,1,0.2,0.0,0.0,2022-11-04,109.0,1.0
1793,6599,8306,e53c876c527c016f70b30c2217d1851a,4773,42,36134791,1,13.99,0.0,0.0,2022-10-28,114.0,1.0
1794,6602,8309,4410e597b9c130fe4732e7f147cf7475,4789,9,30699102,1,2.25,0.0,0.0,2022-12-17,120.0,1.0
1802,6625,8332,3407aa33a423c14c22f5605f0fadac53,4799,46,36216383,1,5.9,0.0,0.0,2023-03-27,321.0,1.0
1814,6682,8390,785d4a280d9ea2cdca0a1e6a11b02f46,4819,49,33700716,1,0.4,0.0,0.0,2023-03-16,255.0,1.0
1824,6714,8422,94aca556c9fad3cce59783114648fb68,4827,18,35865431,1,14.85,0.0,0.0,2023-04-01,278.0,1.0
1866,6873,8582,6b1f1f00cc4127cd8ba8f57a48edce4d,4909,7,35874216,1,2.6,0.0,0.0,2023-03-30,116.0,1.0
1881,6916,8626,b40a1c3e1661b199f3828d6b381d1e3b,4945,42,36276513,1,49.9,0.0,0.0,2022-11-12,141.0,1.0
1917,7038,8749,c775d5cb135fe8e393433dce0c392179,5022,34,35603176,1,12.44,0.0,0.0,2023-02-11,162.0,1.0
1918,7043,8754,62d3243677816767777abb269942772f,5030,6,33633313,1,15.68,0.0,0.0,2022-10-26,127.0,1.0
1919,7044,8755,12662dea1a74f2d0656a9a989c2815e9,5030,7,35943383,1,4.95,0.0,0.0,2023-03-09,134.0,1.0
1926,7063,8774,a0f23117206607dfe7c4b656aad51864,5051,7,33700716,1,0.2,0.0,0.0,2023-01-07,173.0,1.0
1933,7076,8787,6035ed824fe76f06939dff3a4523956b,5060,29,33817091,1,0.5,0.0,0.0,2023-04-07,159.0,1.0
1939,7092,8803,042b418d9242ea6e7688f4f64c9466c6,5090,48,36103746,1,124.9,0.0,0.0,2022-09-10,128.0,1.0
1940,7093,8804,3b6b6922ffb663e6d148234c5caffdec,5090,48,34950762,1,8.9,0.0,0.0,2023-01-10,122.0,1.0
1957,7144,8855,2bd372939beefd5282a6946b648331db,5134,27,35538202,1,11.9,0.0,0.0,2023-03-01,136.0,1.0
1979,7280,8991,c1c165b87652fb0d52d62d2b77514530,5183,27,33700716,1,0.2,0.0,0.0,2022-09-17,132.0,1.0
1981,7283,8994,a01bb91f18c97aeecf0595f87b7a1cee,5183,27,32831085,1,3.3,0.0,0.0,2023-02-27,149.0,1.0
1989,7311,9024,880c42a6f35075c7bbed7c52aed08596,5199,43,35417704,1,1.95,0.0,0.0,2022-08-24,114.0,1.0
1990,7313,9026,67ec67bddff20572477ffc2952cfb243,5199,43,32498011,1,2.6,0.0,0.0,2022-12-17,115.0,1.0
2004,7385,9098,2bea790cf7062ebff155590e39af7b01,5236,15,32755975,1,15.96,1.6,10.025062656641603,2022-12-12,205.0,1.0
2005,7394,9107,ecaafd076b958f2b0fbdfbf3bf2ddf1b,5245,26,33700716,1,0.2,0.0,0.0,2023-03-04,124.0,1.0
2014,7443,9156,e5ea3d958d536221ecebd184a5c3ab96,5325,13,33700716,1,0.2,0.0,0.0,2022-12-31,166.0,1.0
2018,7450,9163,e242a38121267079bd7c520435938f7d,5340,12,34261010,1,1.1,0.0,0.0,2023-02-11,116.0,1.0
2029,7479,9193,318fc5ca271daa687ca969a3131c098e,5379,40,36531824,1,19.8,0.0,0.0,2023-01-30,233.0,1.0
2039,7530,9244,2dc612501f8bc7e5dc8d82065a1d3f7b,5441,49,34798386,1,37.0,0.0,0.0,2022-12-20,182.0,1.0
2043,7546,9260,a5d14c7371dcda7f750f1a32a8ba8aeb,5451,8,35901796,1,11.9,0.0,0.0,2023-04-12,118.0,1.0
2070,7639,9353,e5b1f4ed3843fc48aa58bcd3b8fe8f79,5480,8,35801556,1,14.1,0.0,0.0,2023-01-27,130.0,1.0
2081,7672,9389,d203ff032413bfeda1290be9e8f6dd6e,5528,40,33995773,1,4.99,0.0,0.0,2023-01-10,189.0,1.0
2082,7678,9395,e495705c0c0bea4af9e149bfb5a2146b,5536,40,33421682,1,2.6,0.0,0.0,2022-12-23,154.0,1.0
2083,7682,9399,c0618f5e884c907bbd2de633720894ca,5544,12,36550920,1,139.8,0.0,0.0,2022-12-10,107.0,1.0
2086,7688,9405,cff05124dc61acf105fef020fdaa826a,5574,40,34362363,1,39.99,0.0,0.0,2023-03-15,125.0,1.0
2088,7693,9410,3a0b4f922825046b4e212ba08ac1814e,5580,40,81250174,1,19.9,0.0,0.0,2023-02-03,181.0,1.0
2096,7728,9445,7a3c46b86599263b8d28c8a10c76ccd4,5625,29,81259516,1,3.99,0.0,0.0,2023-02-02,168.0,1.0
2099,7734,9451,11b7f53e28480fdad20bf59e366ffe00,5628,22,35851116,1,14.4,0.0,0.0,2023-04-17,137.0,1.0
2106,7790,9510,eef462549df0c4bc63e26b6efec2fe5c,5645,7,33700716,1,0.2,0.0,0.0,2023-04-04,290.0,1.0
2139,7892,9614,869c0110bbc39d12213c02376710f44e,5695,42,34689095,1,149.9,0.0,0.0,2022-12-30,183.0,1.0
2148,7912,9634,eac2edf6c8d365a6da5a393c4c4c265c,5714,34,32388923,1,8.4,0.0,0.0,2023-03-16,261.0,1.0
2158,7942,9667,da033214568f448e18a3cd95b720b4f3,5720,8,32424665,1,6.55,0.0,0.0,2023-04-27,238.0,1.0
2159,7947,9672,025aa30a65aeb47166b5b2e67b7c1f00,5736,7,35649740,1,3.1,0.0,0.0,2022-10-18,109.0,1.0
2168,7985,9710,367433c1232edcce2d9548a9d462322d,5747,40,34060866,1,47.94,0.0,0.0,2023-03-01,148.0,1.0
2173,8002,9727,555f67072d7b6946b5ec92e9886544c5,5785,14,35551922,1,20.9,0.0,0.0,2022-12-23,165.0,1.0
2179,8017,9742,7412ab6c58647a0b174e00198836dabd,5787,41,36572354,1,7.57,7.57,100.0,2023-04-23,177.0,1.0
2182,8041,9770,f8b9e228734f84bbcb2961b7851679e4,5794,41,31182130,1,10.85,0.0,0.0,2022-10-25,114.0,1.0
2194,8113,9842,f7867741de0cd45e478319397fd9012d,5835,41,82042965,1,3.25,0.0,0.0,2023-03-20,170.0,1.0
2196,8129,9858,08aefed08fade907f7f444db06878481,5855,41,33700716,1,0.2,0.0,0.0,2023-04-09,224.0,1.0
2198,8137,9866,0d1429126c15b0512b34514d67dc8434,5876,14,36101576,1,0.99,0.0,0.0,2023-01-28,114.0,1.0
2216,8171,9915,9cf8a1a4a98cd0d447fda706e75fb21b,5882,44,32670435,1,1.2,0.0,0.0,2023-03-31,119.0,1.0
2220,8186,9930,73bf035f804233479dff08e37dbd159c,5907,15,35616812,1,4.99,0.0,0.0,2023-02-17,140.0,1.0
2239,8243,9987,49d19aef10a70f8f0dc00b7cea966803,5916,29,34677580,1,4.0,0.0,0.0,2023-02-27,258.0,1.0
2246,8278,10022,4c054546c8b16e26a2e98a4ee4c64fdb,5937,27,33700716,1,0.2,0.0,0.0,2023-02-14,131.0,1.0
2250,8305,10051,58cbd8d5fadcdae39169de93e171d2c0,5948,13,33120913,1,2.8,0.42,15.0,2023-03-22,180.0,1.0
2258,8335,10083,a12b030143b0c395ea5be3161bbaf12d,5964,21,31262133,1,2.0,0.0,0.0,2023-04-01,133.0,1.0
2288,8441,10189,f753a6b9be552198eac313d430c67119,6034,41,34867812,1,4.99,0.0,0.0,2023-02-01,165.0,1.0
2313,8527,10284,f8450d2de54ba1caaaa23740101b575d,6058,14,31193890,1,1.54,0.0,0.0,2023-04-17,235.0,1.0
2314,8539,10296,b3d029f5fcccca7f2470676c2fab468c,6077,41,34266526,1,2.38,0.0,0.0,2022-12-23,147.0,1.0
2330,8601,10364,5b50b02c7a91eed22002128272151820,6108,14,32388923,1,2.1,0.0,0.0,2023-02-20,107.0,1.0
2337,8621,10387,5679f462256d2a165a59b0be677e9dba,6112,14,34366556,1,5.9,0.88,14.915254237288131,2022-11-01,122.0,1.0
2350,8660,10426,bcd7dd1957672750df978a66ec92ff64,6115,14,33700716,1,0.2,0.0,0.0,2022-11-20,111.0,1.0
2353,8673,10442,2684ef32858799310b643b4116eb2c4b,6116,41,35599151,1,44.9,10.0,22.271714922049,2022-10-21,110.0,1.0
2381,8768,10544,0a9dd6618ff5c78b59ed564c44364eeb,6176,42,35315231,1,3.2,0.0,0.0,2022-09-18,137.0,1.0
2386,8787,10563,3625613b3d1a718e0d258fcdb116c921,6207,33,33817091,1,0.5,0.0,0.0,2022-09-29,149.0,1.0
2388,8794,10570,e2e9c2a1d8807fc26e55d3a8a5afc7f5,6210,40,33817091,1,0.5,0.0,0.0,2022-12-14,126.0,1.0
